iter	RMSE
0	13062884.85
1	10512548.09
2	9059378.981
3	8239592.185
4	7028404.201
5	5901264.885
6	5757898.428
7	5043582.486
8	4642570.722
9	4474960.318
10	4246044.552
11	3962261.523
12	3828089.25
13	3733828.356
14	3655820.956
15	3571746.314
16	3531420.822
17	3389946.78
18	3346533.933
19	3234394.14
20	3181601.056
21	3111853.609
22	3053948.802
23	3032355.034
24	3017425.085
25	2928791.791
26	2875874.623
27	2824786.636
28	2777466.876
29	2738015.748
30	2709950.17
31	2699959.689
32	2623950.823
33	2563531.249
34	2551261.807
35	2523653.993
36	2516861.925
37	2495214.793
38	2442717.571
39	2429812.003
40	2409537.441
41	2393618.911
42	2361586.184
43	2297189.064
44	2288553.727
45	2273498.144
46	2268343.653
47	2236811.89
48	2203471.965
49	2187142.045
50	2181511.032
51	2145371.636
52	2129691.451
53	2109549.462
54	2105628.208
55	2054774.337
56	2001082.226
57	1995584.743
58	1976301.982
59	1959651.985
60	1939961.111
61	1909270.42
62	1872419.598
63	1853032.407
64	1848492.172
65	1821123.417
66	1818247.896
67	1796966.681
68	1789156.61
69	1761995.237
70	1744451.559
71	1725396.244
72	1711219.737
73	1701815.17
74	1697800.157
75	1687392.764
76	1668346.264
77	1665545.496
78	1643302.962
79	1641026.175
80	1609417.247
81	1600731.649
82	1590819.732
83	1587918.016
84	1564854.348
85	1542579.811
86	1519298.439
87	1498556.456
88	1493172.776
89	1479403.133
90	1476434.487
91	1472583.944
92	1454500.374
93	1436754.635
94	1425013.654
95	1423154.386
96	1417697.564
97	1414067.492
98	1400350.203
99	1390976.186
100	1386114.125
101	1369883.575
102	1368216.789
103	1354065.001
104	1342212.011
105	1335611.145
106	1329724.219
107	1324624.564
108	1313547.765
109	1312179.816
110	1306712.358
111	1305619.685
112	1295334.491
113	1284016.654
114	1267518.442
115	1266313.134
116	1263482.886
117	1255788.047
118	1254875.765
119	1248036.632
120	1244151.971
121	1239823.641
122	1233543.118
123	1226249.977
124	1223983.055
125	1215537.579
126	1209191.902
127	1208323.947
128	1207703.567
129	1201059.201
130	1192301.729
131	1189406.822
132	1185520.901
133	1180239.043
134	1177563.574
135	1168767.185
136	1168150.174
137	1164281.149
138	1163656.96
139	1154886.136
140	1148610.425
141	1147199.282
142	1144891.164
143	1138848.033
144	1138370.276
145	1137865.101
146	1133514.237
147	1131050.062
148	1128452.821
149	1127916.104
150	1127601.831
151	1126185.931
152	1121904.175
153	1113488.267
154	1113263.669
155	1112771.605
156	1110164.399
157	1106650.388
158	1103072.863
159	1099688.407
160	1099315.59
161	1095032.332
162	1094758.179
163	1090777.951
164	1086347.755
165	1084994.981
166	1079367.359
167	1076476.446
168	1074513.737
169	1072952.826
170	1069361.329
171	1069163.938
172	1064603.424
173	1064440.056
174	1062579.125
175	1058008.769
176	1054828.792
177	1049444.138
178	1047280.821
179	1047033.075
180	1045496.901
181	1045358.384
182	1041308.068
183	1039937.638
184	1038502.269
185	1034538.276
186	1033545.187
187	1031902.942
188	1028781.881
189	1025883.309
190	1024671.815
191	1021325.961
192	1021158.627
193	1017815.946
194	1014570.988
195	1013951.572
196	1013816.656
197	1011662.451
198	1010136.683
199	1009761.905
200	1008923.925
201	1007290.411
202	1006774.154
203	1006679.987
204	1004465.957
205	1004351.017
206	1001152.667
207	1000257.235
208	997261.0278
209	996725.211
210	995352.9603
211	994069.7846
212	991016.6666
213	989731.9109
214	987928.5038
215	986221.7572
216	984926.0053
217	983965.737
218	983855.941
219	983296.1144
220	982357.5496
221	981721.5875
222	981223.9803
223	980740.517
224	980071.3869
225	979572.3433
226	978623.4059
227	975488.1714
228	974957.8382
229	974549.7273
230	973237.939
231	973161.7759
232	972035.887
233	971970.86
234	970303.7925
235	969794.2427
236	968348.4598
237	968250.0056
238	967190.7558
239	966020.1156
240	965938.8022
241	965051.1476
242	962604.3919
243	962412.1319
244	961192.1945
245	959717.9512
246	958710.808
247	956885.9185
248	955643.0064
249	954595.4094
250	954313.2594
251	954248.2338
252	953989.8866
253	952114.5914
254	951280.8946
255	951229.206
256	951191.678
257	950906.6724
258	950027.6169
259	949980.0428
260	949223.171
261	948289.7833
262	948108.1352
263	947852.8523
264	947104.5567
265	946977.9273
266	946951.9208
267	946153.9398
268	945942.2956
269	945158.3951
270	944878.3635
271	944847.1568
272	944592.3838
273	944353.6371
274	943781.1636
275	943754.9766
276	943214.0949
277	943097.8054
278	941866.5361
279	941315.5588
280	941277.6505
281	941186.8419
282	940420.1447
283	940073.687
284	939198.6261
285	938631.014
286	938519.6926
287	938033.859
288	937696.2
289	936734.0944
290	936169.4772
291	936143.2491
292	935269.1219
293	935007.1006
294	934984.4274
295	934153.3753
296	933582.5977
297	933394.431
298	933372.3221
299	932480.7928
300	931990.3986
301	931865.1061
302	931291.0272
303	931265.9402
304	930641.9984
305	930321.5004
306	929861.4104
307	929543.8759
308	929518.8477
309	929176.0736
310	928743.5787
311	928222.1339
312	928204.149
313	928063.9397
314	928051.3223
315	927646.7697
316	927226.7832
317	927212.2796
318	927194.485
319	926791.311
320	926652.8124
321	926645.4744
322	926523.1467
323	926386.2285
324	925948.8329
325	925460.8845
326	925017.3957
327	924582.5619
328	924570.0891
329	924457.4961
330	924286.7577
331	924277.7858
332	923899.7064
333	923547.5152
334	923261.0424
335	923158.0603
336	922522.7009
337	922128.9656
338	921879.0943
339	921821.9017
340	921709.2647
341	921434.3427
342	921238.9521
343	921141.3557
344	921127.802
345	920833.604
346	920820.1521
347	920619.2193
348	920239.0614
349	919979.9389
350	919887.7116
351	919747.1754
352	919732.4629
353	919360.2737
354	919279.7818
355	919271.9822
356	919069.7326
357	919059.5002
358	919054.2185
359	918824.2006
360	918818.8297
361	918812.9689
362	918528.9658
363	918148.2268
364	918138.2111
365	918018.4975
366	917935.2003
367	917696.1454
368	917686.5171
369	917394.2019
370	917388.1954
371	917252.1189
372	917245.7242
373	917049.5262
374	916851.983
375	916552.6888
376	916545.5474
377	916304.2754
378	916258.7823
379	916090.7182
380	915958.0609
381	915753.2894
382	915576.5879
383	915393.2088
384	915387.3896
385	915165.3989
386	915160.5943
387	915089.37
388	914972.5676
389	914911.028
390	914804.6866
391	914788.9057
392	914500.46
393	914193.2649
394	914169.0678
395	914052.335
396	914047.7679
397	914043.07
398	914022.639
399	913949.3119
400	913945.1353
401	913844.7817
402	913841.2154
403	913655.9739
404	913624.1279
405	913486.9715
406	913295.2449
407	913238.6691
408	913202.7061
409	913010.0196
410	912914.6629
411	912909.9477
412	912820.0111
413	912742.4172
414	912577.3912
415	912572.3153
416	912473.3893
417	912358.5826
418	912180.8749
419	912040.9653
420	911924.877
421	911760.5777
422	911732.3333
423	911698.2353
424	911693.563
425	911690.9717
426	911664.9487
427	911598.6477
428	911370.4437
429	911366.9529
430	911365.2591
431	911241.7273
432	911192.7322
433	911097.9727
434	911092.4069
435	910969.0415
436	910967.6064
437	910913.3964
438	910833.0145
439	910777.6793
440	910705.2558
441	910642.0242
442	910570.8951
443	910487.5366
444	910484.3154
445	910481.9109
446	910458.0745
447	910455.5896
448	910353.3058
449	910288.2855
450	910285.6158
451	910284.2596
452	910186.3823
453	910185.0885
454	910124.0058
455	910043.0599
456	910037.946
457	910036.8785
458	910035.1671
459	909983.6785
460	909852.4389
461	909850.1761
462	909848.4127
463	909731.6472
464	909660.5547
465	909584.5757
466	909582.8182
467	909560.8454
468	909532.6103
469	909455.222
470	909376.1955
471	909375.1412
472	909282.7823
473	909252.5245
474	909250.8625
475	909195.3872
476	909136.7639
477	909135.9393
478	909135.0259
479	909128.6379
480	909128.0701
481	909108.9517
482	909067.1189
483	909000.1546
484	908988.173
485	908916.4233
486	908843.6103
487	908823.3254
488	908801.4662
489	908786.2121
490	908688.1473
491	908646.5029
492	908588.5236
493	908556.1512
494	908554.5994
495	908533.518
496	908532.5749
497	908505.3799
498	908483.4611
499	908456.602
500	908452.2915
501	908422.9851
502	908405.7249
503	908328.1207
504	908243.0656
505	908223.9226
506	908155.9139
507	908126.9426
508	908082.482
509	908026.7612
510	907999.6752
511	907955.5091
512	907954.4055
513	907951.59
514	907942.4747
515	907917.3983
516	907885.8313
517	907870.0756
518	907855.7985
519	907815.1533
520	907792.0431
521	907743.0692
522	907719.5229
523	907676.7902
524	907632.9484
525	907587.9934
526	907587.0498
527	907553.134
528	907541.9711
529	907503.1252
530	907461.0573
531	907444.5718
532	907443.8262
533	907423.8756
534	907392.5239
535	907381.7959
536	907334.0879
537	907333.2562
538	907319.7543
539	907318.779
540	907300.3404
541	907273.3705
542	907253.4475
543	907222.8482
544	907202.7069
545	907178.1139
546	907172.9092
547	907148.8706
548	907147.9685
549	907114.9926
550	907086.8173
551	907086.1502
552	907055.0859
553	907045.6018
554	907037.6881
555	907010.6549
556	907010.0638
557	906974.0755
558	906963.3509
559	906952.0972
560	906930.4748
561	906929.9895
562	906929.4195
563	906928.9966
564	906925.008
565	906924.6037
566	906909.4201
567	906867.7253
568	906863.197
569	906843.7311
570	906831.7398
571	906814.2055
572	906810.2531
573	906787.3212
574	906786.7349
575	906783.7141
576	906760.7977
577	906742.7332
578	906712.264
579	906704.826
580	906704.0644
581	906703.6181
582	906682.0029
583	906678.3788
584	906677.8168
585	906675.9382
586	906659.3043
587	906627.5821
588	906608.4597
589	906598.9756
590	906598.2169
591	906585.2288
592	906584.781
593	906566.0725
594	906559.7982
595	906553.1479
596	906530.7867
597	906517.1441
598	906506.6811
599	906487.3618
600	906482.2577
601	906466.3798
602	906459.2811
603	906456.6545
604	906432.9039
605	906432.1671
606	906429.5676
607	906421.3318
608	906407.9115
609	906397.4307
610	906397.1634
611	906397.0549
612	906396.9107
613	906396.7378
614	906379.4421
615	906375.599
616	906369.9846
617	906361.7964
618	906357.7519
619	906357.5377
620	906349.0604
621	906346.2095
622	906342.1698
623	906339.1263
624	906322.0223
625	906319.8514
626	906305.6078
627	906288.3385
628	906288.1948
629	906278.5631
630	906276.2058
631	906256.7672
632	906253.7317
633	906242.4909
634	906221.2266
635	906206.1266
636	906197.1747
637	906187.2019
638	906179.105
639	906169.2447
640	906168.9503
641	906165.0656
642	906158.0475
643	906157.5801
644	906142.9574
645	906133.6682
646	906128.3423
647	906128.0363
648	906127.8692
649	906121.934
650	906110.4707
651	906103.3032
652	906096.6077
653	906095.0248
654	906093.9398
655	906088.4718
656	906080.9424
657	906074.9204
658	906063.2925
659	906053.8941
660	906050.7705
661	906045.3766
662	906044.9247
663	906040.1941
664	906037.9075
665	906037.7753
666	906037.6951
667	906028.6266
668	906017.7519
669	906014.9452
670	906014.7307
671	906011.0857
672	906005.695
673	906005.5097
674	906000.063
675	905999.9972
676	905999.841
677	905997.8506
678	905994.3661
679	905991.2505
680	905991.0334
681	905984.0937
682	905977.5848
683	905974.73
684	905968.7762
685	905968.5002
686	905968.3061
687	905961.1542
688	905961.0094
689	905958.639
690	905958.6022
691	905958.5449
692	905952.5696
693	905948.312
694	905948.24
695	905945.0024
696	905944.9246
697	905936.43
698	905931.8248
699	905931.4071
700	905929.9392
701	905927.2128
702	905924.3726
703	905923.5226
704	905923.4406
705	905915.9673
706	905913.9009
707	905909.9287
708	905904.7153
709	905904.1367
710	905904.0943
711	905903.6733
712	905903.5806
713	905902.9944
714	905899.3013
715	905896.4132
716	905892.9707
717	905888.881
718	905885.6281
719	905881.6253
720	905876.8921
721	905873.9889
722	905872.7769
723	905869.1433
724	905869.0605
725	905866.3035
726	905862.8161
727	905862.7501
728	905858.0576
729	905853.5759
730	905847.7459
731	905845.9833
732	905845.9169
733	905842.17
734	905842.1225
735	905841.3041
736	905836.9556
737	905836.8989
738	905836.8459
739	905835.1204
740	905835.0658
741	905833.2089
742	905828.8928
743	905828.8508
744	905825.1062
745	905825.025
746	905821.5851
747	905819.6163
748	905814.1199
749	905814.0486
750	905810.9152
751	905810.8074
752	905809.7435
753	905807.2435
754	905804.2027
755	905800.5473
756	905799.9637
757	905796.6043
758	905794.879
759	905794.2038
760	905794.1511
761	905794.1435
762	905794.1244
763	905792.856
764	905791.1611
765	905789.5807
766	905789.5169
767	905789.4824
768	905787.0263
769	905785.739
770	905783.3639
771	905781.8363
772	905779.9567
773	905779.842
774	905776.5707
775	905776.1367
776	905775.7468
777	905773.4138
778	905771.4393
779	905770.9441
780	905770.8928
781	905770.4018
782	905770.3879
783	905768.8593
784	905765.3686
785	905765.3409
786	905764.8317
787	905762.7888
788	905761.2021
789	905760.5863
790	905760.4865
791	905758.4944
792	905758.04
793	905757.727
794	905755.4603
795	905754.0332
796	905753.1711
797	905753.1282
798	905751.4386
799	905751.3982
800	905751.3624
801	905749.0353
802	905748.5595
803	905746.5149
804	905745.7683
805	905743.5822
806	905741.1215
807	905739.4474
808	905739.4008
809	905739.3789
810	905737.2915
811	905737.2678
812	905734.8476
813	905733.7117
814	905732.1874
815	905731.9848
816	905731.9606
817	905731.2635
818	905728.7125
819	905728.6297
820	905727.7219
821	905727.672
822	905727.6511
823	905726.1234
824	905725.5482
825	905723.3738
826	905721.4563
827	905721.4347
828	905720.3936
829	905719.9267
830	905718.9024
831	905718.2589
832	905716.173
833	905715.9853
834	905713.883
835	905712.7206
836	905711.762
837	905711.7186
838	905710.8215
839	905710.8026
840	905710.1269
841	905709.2796
842	905709.2691
843	905709.2536
844	905709.2352
845	905709.2278
846	905707.9769
847	905707.8854
848	905707.5527
849	905705.5181
850	905705.2136
851	905704.0236
852	905703.0893
853	905701.9703
854	905701.7384
855	905701.4255
856	905701.4155
857	905700.2048
858	905698.2208
859	905698.0312
860	905697.0079
861	905696.6976
862	905696.6731
863	905696.6598
864	905695.2673
865	905694.0356
866	905692.3276
867	905692.3034
868	905692.1397
869	905691.3668
870	905689.838
871	905689.6784
872	905688.8029
873	905688.782
874	905688.2403
875	905688.2315
876	905687.6342
877	905687.0637
878	905687.0551
879	905686.2063
880	905685.4499
881	905684.4643
882	905683.7844
883	905683.2915
884	905683.199
885	905683.1815
886	905682.3682
887	905681.066
888	905681.0505
889	905679.6034
890	905679.0866
891	905677.6104
892	905677.4879
893	905677.4696
894	905676.8063
895	905676.1433
896	905676.1317
897	905674.7635
898	905673.887
899	905673.598
900	905673.5838
901	905672.4291
902	905672.0874
903	905670.6184
904	905670.6067
