iter	Passed	Remaining
0	8	16565
1	16	16309
2	23	15760
3	30	15266
4	35	14127
5	40	13342
6	41	11753
7	46	11580
8	50	11239
9	55	11010
10	59	10791
11	64	10755
12	69	10634
13	74	10571
14	79	10579
15	84	10484
16	90	10589
17	98	10856
18	105	10972
19	114	11373
20	123	11645
21	131	11835
22	140	12065
23	148	12197
24	159	12612
25	168	12809
26	177	12974
27	186	13163
28	196	13360
29	207	13620
30	218	13848
31	225	13896
32	232	13875
33	239	13822
34	246	13836
35	255	13915
36	263	13953
37	271	14006
38	279	14076
39	288	14140
40	297	14218
41	307	14322
42	316	14396
43	325	14456
44	334	14523
45	343	14572
46	353	14670
47	360	14672
48	369	14699
49	378	14748
50	386	14755
51	394	14767
52	403	14829
53	411	14840
54	420	14885
55	428	14881
56	436	14875
57	445	14900
58	454	14937
59	463	15000
60	474	15090
61	482	15087
62	491	15104
63	499	15096
64	506	15087
65	516	15135
66	524	15123
67	532	15135
68	541	15140
69	550	15170
70	555	15102
71	562	15055
72	571	15073
73	579	15086
74	588	15108
75	598	15163
76	609	15219
77	618	15236
78	626	15244
79	635	15262
80	644	15275
81	653	15285
82	662	15292
83	669	15269
84	677	15254
85	686	15275
86	694	15277
87	703	15290
88	713	15313
89	722	15342
90	731	15337
91	739	15331
92	747	15318
93	756	15332
94	766	15368
95	774	15356
96	782	15345
97	790	15339
98	799	15344
99	807	15347
100	818	15385
101	828	15410
102	839	15466
103	851	15521
104	860	15523
105	869	15534
106	878	15538
107	887	15556
108	895	15537
109	902	15511
110	909	15481
111	918	15475
112	926	15474
113	934	15461
114	943	15462
115	952	15468
116	961	15482
117	971	15493
118	980	15493
119	988	15487
120	997	15483
121	1004	15461
122	1014	15476
123	1026	15529
124	1035	15535
125	1042	15498
126	1047	15443
127	1053	15401
128	1058	15357
129	1063	15298
130	1068	15242
131	1073	15190
132	1078	15140
133	1083	15086
134	1087	15029
135	1092	14977
136	1098	14935
137	1104	14902
138	1111	14879
139	1117	14846
140	1124	14828
141	1131	14801
142	1138	14787
143	1144	14753
144	1150	14722
145	1157	14701
146	1164	14680
147	1171	14661
148	1178	14638
149	1186	14630
150	1194	14629
151	1203	14630
152	1212	14632
153	1221	14637
154	1229	14639
155	1239	14646
156	1248	14653
157	1256	14651
158	1266	14662
159	1276	14682
160	1286	14697
161	1295	14692
162	1304	14703
163	1312	14693
164	1321	14695
165	1330	14698
166	1339	14705
167	1349	14715
168	1358	14714
169	1367	14715
170	1377	14735
171	1386	14730
172	1395	14741
173	1403	14732
174	1413	14736
175	1422	14742
176	1432	14757
177	1443	14779
178	1451	14770
179	1461	14773
180	1469	14764
181	1477	14762
182	1485	14748
183	1493	14737
184	1501	14731
185	1508	14715
186	1516	14704
187	1523	14687
188	1531	14678
189	1539	14663
190	1545	14639
191	1552	14622
192	1559	14601
193	1564	14566
194	1571	14542
195	1579	14535
196	1585	14510
197	1591	14486
198	1597	14456
199	1602	14423
200	1608	14395
201	1612	14355
202	1618	14324
203	1626	14316
204	1632	14298
205	1640	14284
206	1646	14261
207	1652	14233
208	1658	14209
209	1663	14181
210	1668	14149
211	1676	14143
212	1682	14113
213	1689	14103
214	1695	14077
215	1702	14058
216	1708	14038
217	1713	14006
218	1719	13984
219	1724	13954
220	1730	13932
221	1738	13922
222	1744	13904
223	1751	13889
224	1758	13872
225	1764	13854
226	1772	13846
227	1781	13848
228	1790	13847
229	1799	13848
230	1808	13847
231	1816	13845
232	1826	13850
233	1835	13854
234	1844	13854
235	1853	13855
236	1863	13859
237	1873	13868
238	1879	13852
239	1888	13848
240	1897	13851
241	1909	13868
242	1917	13866
243	1926	13864
244	1934	13859
245	1943	13859
246	1953	13864
247	1962	13866
248	1973	13875
249	1981	13868
250	1988	13859
251	1996	13846
252	2004	13844
253	2013	13841
254	2022	13839
255	2031	13840
256	2040	13841
257	2049	13837
258	2058	13834
259	2065	13825
260	2075	13827
261	2082	13811
262	2090	13810
263	2100	13809
264	2107	13801
265	2116	13798
266	2125	13793
267	2133	13790
268	2141	13777
269	2150	13776
270	2158	13773
271	2167	13768
272	2178	13783
273	2188	13783
274	2197	13781
275	2205	13779
276	2215	13779
277	2223	13774
278	2232	13769
279	2241	13766
280	2249	13763
281	2260	13773
282	2269	13769
283	2280	13776
284	2288	13772
285	2298	13775
286	2308	13779
287	2318	13781
288	2327	13782
289	2338	13790
290	2349	13799
291	2359	13801
292	2367	13792
293	2376	13791
294	2386	13790
295	2394	13785
296	2403	13782
297	2413	13783
298	2421	13775
299	2428	13760
300	2436	13750
301	2444	13746
302	2454	13746
303	2463	13742
304	2472	13739
305	2481	13737
306	2489	13726
307	2498	13726
308	2507	13723
309	2515	13714
310	2521	13694
311	2529	13682
312	2536	13670
313	2544	13660
314	2552	13652
315	2559	13639
316	2567	13631
317	2578	13636
318	2586	13630
319	2596	13631
320	2605	13627
321	2613	13618
322	2621	13611
323	2629	13602
324	2638	13598
325	2646	13590
326	2655	13586
327	2664	13583
328	2672	13572
329	2681	13570
330	2689	13561
331	2698	13558
332	2708	13558
333	2718	13559
334	2729	13564
335	2740	13572
336	2748	13561
337	2756	13555
338	2766	13556
339	2775	13551
340	2785	13550
341	2795	13551
342	2806	13557
343	2814	13548
344	2823	13543
345	2830	13531
346	2840	13531
347	2849	13526
348	2856	13513
349	2867	13518
350	2873	13499
351	2880	13483
352	2888	13478
353	2898	13478
354	2906	13469
355	2914	13458
356	2920	13441
357	2927	13428
