iter	RMSE
0	11031972.78
1	9372579.458
2	8483848.907
3	6743311.883
4	6364312.702
5	5627173.166
6	5196099.769
7	4875987.716
8	4646953.001
9	4350278.62
10	4104240.383
11	4006528.401
12	3881938.081
13	3795608.277
14	3706950.926
15	3630451.159
16	3583414.321
17	3464856.405
18	3384385.073
19	3351499.538
20	3296254.238
21	3253042.387
22	3159831.709
23	3137800.771
24	3073008.092
25	3051961.134
26	2997915.135
27	2987710.172
28	2919034.292
29	2894226.601
30	2878041.524
31	2804354.382
32	2741099.541
33	2701842.076
34	2678288.16
35	2661792.879
36	2587662.514
37	2551039.557
38	2503450.286
39	2495708.171
40	2471915.299
41	2456737.831
42	2423303.25
43	2387802.5
44	2369152.453
45	2349039.741
46	2342254.727
47	2325645.834
48	2311046.782
49	2305495.154
50	2288234.771
51	2248534.953
52	2209997.244
53	2205513.869
54	2167483.186
55	2130964.894
56	2110269.449
57	2098134.878
58	2094486.294
59	2087498.194
60	2073334.995
61	2037728.92
62	2034430.32
63	2015596.983
64	1986156.675
65	1979059.588
66	1957339.265
67	1933307.712
68	1907683.847
69	1894543.631
70	1863290.874
71	1856489.83
72	1853455.778
73	1837832.186
74	1805198.639
75	1789561.417
76	1781089.085
77	1749585.506
78	1742891.427
79	1734558.936
80	1707805.67
81	1705003.946
82	1695486.294
83	1678647.816
84	1671983.397
85	1665732.4
86	1663643.424
87	1650416.077
88	1648936.481
89	1632140.126
90	1623634.226
91	1622141.742
92	1618405.563
93	1590812.148
94	1589306.623
95	1573398.736
96	1557822.444
97	1554092.377
98	1537381.555
99	1525795.829
100	1507276.042
101	1488366.796
102	1477087.249
103	1475691.876
104	1466883.715
105	1450148.024
106	1435129.412
107	1429152.322
108	1425033.541
109	1420398.992
110	1416804.749
111	1405158.943
112	1403940.905
113	1398500.608
114	1394482.012
115	1382914.147
116	1378777.289
117	1375318.335
118	1362111.837
119	1361062.827
120	1351830.99
121	1337035.931
122	1336071.256
123	1335258.842
124	1323612.753
125	1315874.132
126	1308667.917
127	1302596.944
128	1301113.055
129	1297150.66
130	1296572.892
131	1286973.18
132	1277947.364
133	1273975.211
134	1268842.986
135	1260180.22
136	1253817.757
137	1253190.245
138	1248818.293
139	1243813.848
140	1235065.3
141	1229808.406
142	1222781.332
143	1222278.573
144	1219672.404
145	1219174.296
146	1215265.542
147	1212320.479
148	1205671.445
149	1202915.202
150	1202490.343
151	1196395.076
152	1194788.68
153	1189506.959
154	1184103.202
155	1174970.428
156	1172944.82
157	1164692.365
158	1162357.881
159	1162051.394
160	1161720.3
161	1159163.763
162	1156322.119
163	1150943.32
164	1146130.465
165	1144520.155
166	1140541.203
167	1138398.703
168	1132980.878
169	1130224.706
170	1129905.09
171	1127329.488
172	1121047.459
173	1119092.637
174	1115954.43
175	1110243.643
176	1109990.742
177	1108973.305
178	1102283.919
179	1098068.995
180	1093192.227
181	1090416.087
182	1087231.566
183	1082304.638
184	1079902.66
185	1075303.354
186	1070950.479
187	1070773.204
188	1069150.839
189	1067862.825
190	1067668.069
191	1063461.161
192	1061099.587
193	1059410.306
194	1056741.008
195	1055153.783
196	1054729.153
197	1053687.231
198	1047351.141
199	1045698.458
200	1041057.703
201	1038600.423
202	1037395.119
203	1036822.845
204	1033398.067
205	1029063.788
206	1026969.014
207	1026159.399
208	1023873.838
209	1023677.461
210	1023153.081
211	1019115.664
212	1018983.918
213	1016276.007
214	1014627.759
215	1013890.399
216	1012825.928
217	1011015.454
218	1009252.503
219	1007423.547
220	1007290.221
221	1007163.292
222	1006972.584
223	1005624.992
224	1002711.666
225	1002060.28
226	1000505.979
227	997459.4821
228	996912.9854
229	992883.2655
230	992554.0838
231	992446.5537
232	988788.8206
233	985452.7479
234	984450.3616
235	984063.4235
236	983085.7302
237	982994.7744
238	980247.3743
239	980208.0993
240	978977.4725
241	976898.5527
242	976186.7597
243	976106.2857
244	973691.8065
245	972967.3529
246	970720.0751
247	970621.6755
248	967375.1073
249	966833.9919
250	965270.9246
251	963504.2802
252	961635.705
253	960577.6113
254	959081.8112
255	956753.7913
256	955983.872
257	954830.7557
258	950212.2751
259	949915.6713
260	948245.1504
261	947867.968
262	944704.7474
263	944175.5472
264	943598.2952
265	943537.8384
266	941212.0678
267	938535.3382
268	937791.6902
269	937425.6588
270	936543.7766
271	933069.2114
272	932771.818
273	932151.6558
274	929688.7599
275	927427.5969
276	927379.7126
277	925977.0284
278	923585.2285
279	921943.5901
280	921234.8277
281	921188.8593
282	919686.3971
283	917786.3893
284	917019.656
285	916404.4312
286	916152.0132
287	914471.9548
288	914399.8861
289	913003.0932
290	911468.9694
291	910711.4448
292	910677.2035
293	910637.2075
294	908648.7396
295	908184.2229
296	907501.3491
297	906644.4304
298	906295.1925
299	906066.1226
300	904738.789
301	904047.3852
302	903518.7298
303	902570.5801
304	900842.0263
305	899348.7299
306	897810.4484
307	897339.1755
308	897298.1246
309	896961.2029
310	895843.1485
311	895380.6647
312	894520.2923
313	893651.452
314	893451.8052
315	892400.1472
316	892359.0343
317	892110.8362
318	892089.4037
319	891402.3943
320	890637.2924
321	889805.039
322	889457.2404
323	888285.746
324	887320.3392
325	886648.276
326	886063.7858
327	884996.4396
328	883184.4495
329	882249.5362
330	881227.5734
331	880852.0043
332	879891.9647
333	878922.9409
334	878697.2233
335	878665.1976
336	878303.9574
337	878290.0722
338	877442.6351
