iter	Passed	Remaining
0	56	112683
1	67	67756
2	69	46007
3	79	39849
4	89	35886
5	101	33769
6	111	31620
7	120	29980
8	128	28357
9	136	27258
10	146	26492
11	154	25640
12	164	25212
13	175	24957
14	187	24834
15	196	24326
16	208	24273
17	218	24021
18	226	23652
19	238	23564
20	248	23418
21	256	23037
22	263	22686
23	271	22349
24	279	22057
25	285	21653
26	295	21589
27	306	21552
28	316	21493
29	323	21269
30	334	21229
31	341	21021
32	350	20900
33	360	20820
34	368	20700
35	379	20707
36	388	20601
37	398	20551
38	409	20596
39	420	20600
40	429	20519
41	437	20384
42	446	20325
43	455	20267
44	467	20293
45	475	20193
46	485	20159
47	493	20061
48	503	20033
49	511	19932
50	519	19855
51	530	19860
52	539	19837
53	550	19839
54	560	19827
55	570	19813
56	579	19758
57	586	19640
58	592	19494
59	600	19406
60	608	19348
61	616	19284
62	626	19259
63	635	19224
64	644	19196
65	655	19196
66	665	19199
67	674	19172
68	682	19111
69	690	19045
70	698	18983
71	706	18931
72	714	18873
73	724	18868
74	735	18872
75	745	18866
76	754	18835
77	764	18836
78	772	18773
79	781	18746
80	790	18724
81	800	18729
82	810	18723
83	819	18686
84	828	18673
85	837	18638
86	847	18638
87	858	18653
88	869	18676
89	879	18663
90	889	18654
91	898	18641
92	908	18637
93	918	18620
94	929	18630
95	939	18629
96	949	18632
97	960	18633
98	968	18602
99	975	18542
100	986	18544
101	995	18529
102	1007	18548
103	1015	18520
104	1025	18508
105	1032	18440
106	1039	18390
107	1048	18364
108	1055	18307
109	1062	18264
110	1070	18211
111	1079	18189
112	1088	18183
113	1097	18160
114	1103	18086
115	1110	18034
116	1118	18002
117	1124	17934
118	1131	17881
119	1137	17825
120	1144	17768
121	1150	17703
122	1155	17629
123	1161	17565
124	1167	17519
125	1175	17477
126	1186	17492
127	1195	17488
128	1205	17485
129	1213	17461
130	1223	17450
131	1232	17435
132	1241	17431
133	1252	17438
134	1261	17425
135	1269	17401
136	1278	17385
137	1289	17395
138	1300	17417
139	1310	17415
140	1322	17437
141	1332	17432
142	1341	17424
143	1350	17411
144	1361	17412
145	1370	17404
146	1380	17403
147	1390	17402
148	1400	17393
149	1410	17401
150	1419	17384
151	1428	17372
152	1439	17382
153	1448	17358
154	1457	17345
155	1466	17339
156	1478	17361
157	1487	17342
158	1497	17336
159	1505	17315
160	1517	17336
161	1528	17344
162	1537	17332
163	1549	17346
164	1559	17343
165	1567	17320
166	1577	17309
167	1586	17295
168	1595	17285
169	1603	17261
170	1613	17256
171	1623	17249
172	1631	17233
173	1641	17221
174	1651	17224
175	1663	17242
176	1672	17229
177	1679	17191
178	1688	17180
179	1698	17177
180	1709	17179
181	1718	17170
182	1727	17151
183	1736	17133
184	1744	17116
185	1754	17106
186	1763	17094
187	1772	17082
188	1782	17078
189	1789	17049
190	1799	17043
191	1809	17042
192	1819	17032
193	1829	17032
194	1840	17032
195	1849	17023
196	1857	17001
197	1868	17003
198	1877	16989
199	1886	16978
200	1896	16975
201	1904	16950
202	1914	16947
203	1924	16939
204	1933	16925
205	1942	16920
206	1953	16920
207	1962	16908
208	1972	16901
209	1982	16897
210	1992	16894
211	2000	16875
212	2009	16858
213	2017	16840
214	2026	16823
215	2035	16807
216	2043	16787
217	2052	16779
218	2061	16764
219	2069	16746
220	2078	16731
221	2086	16708
222	2095	16700
223	2104	16685
224	2114	16679
225	2123	16672
226	2133	16661
227	2142	16647
228	2151	16639
229	2159	16619
230	2164	16577
231	2170	16539
232	2175	16496
